Crosses,Price,Column1,2,Day,Year,Date
USDCHF,0.9661,,0.0005,0.0006,-0.0411,5/27/2020
EURCHF,1.0596,,-0.0004,-0.0004,-0.0581,5/27/2020
AUDCHF,0.6419,,0.0002,0.0003,-0.0795,5/27/2020
CHFCAD,1.4269,,-0.001,-0.0007,0.0652,5/27/2020
CHFJPY,111.256,,-0.077,-0.0007,0.0249,5/27/2020
GBPCHF,1.19,,-0.0001,-0.0001,-0.0665,5/27/2020
NZDCHF,0.598,,-0.0006,-0.001,-0.0926,5/27/2020
CHFBRL,5.5442,,-0.0612,-0.0109,0.388,5/26/2020
CHFCNY,7.4058,,0.005,0.0007,0.0776,5/27/2020
CHFINR,78.1255,,0.0226,0.0003,0.1311,5/26/2020
CHFKRW,1276.2029,,2.426,0.0019,0.0824,5/27/2020
CHFMXN,23.0183,,0.0078,0.0003,0.2083,5/27/2020
CHFRUB,73.2966,,-0.0004,-0.00001,0.1419,5/27/2020
CHFARS,70.6459,,0.4825,0.0069,0.595,5/26/2020
CHFCZK,25.5054,,0.0206,0.0008,0.1097,5/27/2020
CHFDKK,7.039,,0.0038,0.0005,0.0601,5/27/2020
CHFHUF,328.3023,,0.2303,0.0007,0.1293,5/27/2020
CHFIDR,15256.0278,,146.7739,0.0097,0.0696,5/26/2020
CHFNOK,10.2585,,0.0169,0.0017,0.1853,5/27/2020
